Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.85083362438032E-18,0.0583114445096745,-6.04448109352338E-18,0,0,0,7.3223908284065,0.0770682750012723,2.85087197106203E-19,-8.06021717339874E-18,0.0891017385530815,2.2146695351118E-18,0.0432617521929433,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,0.02292,0.11716,0.0018279,0,0,0,2.153,0.0065228,-0.00164,4.5704E-09,0.0039907,8.9876E-09,0.0071528,0,0,0,0,0,0,package://arm/meshes/l1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l1.STL,,base-part1-2,Origin_base-l1,Axis_base-l1,base-l1,continuous,0,0,0.09398,1.5707963267949,0,-0.0800930115306545,base_link,0,1,0,,,,,,,,,,,,
l2,5.8426E-05,0.045205,-0.025174,0,0,0,0.619,0.0028408,-2.8559E-06,4.6195E-07,0.00058764,0.00044293,0.002663,0,0,0,0,0,0,package://arm/meshes/l2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l2.STL,,Part1-part2-1,Origin_l1-l2,Axis_l1-l2,l1-l2,continuous,0.017859,0.24958,0.0033036,-1.5708,-1.4759,1.4994,l1,0,0,1,,,,,,,,,,,,
l3,0.00085169,0.039355,1.8994E-05,0,0,0,0.16787,0.00010686,-7.4448E-06,-9.6151E-08,6.635E-05,-1.7305E-07,0.00011252,0,0,0,0,0,0,package://arm/meshes/l3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l3.STL,,Part2-part3-1,Origin_l2-l3,Axis_l2-l3,l2-l3,continuous,0,0.16492,-0.049402,-3.1416,-1.177,3.1416,l2,0,1,0,,,,,,,,,,,,
l4,-0.028278,-0.052578,-0.010136,0,0,0,0.19195,0.00018719,-4.6919E-05,-1.2959E-06,9.0937E-05,-2.4333E-06,0.00021672,0,0,0,0,0,0,package://arm/meshes/l4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l4.STL,,Part3-part4-1,Origin_l3-l4,Axis_l3-l4,l3-l4,continuous,0.031956,0.10002,0,-3.1416,0,-1.5733,l3,0,0,1,,,,,,,,,,,,
l5,-0.0080882,0.063108,1.1102E-16,0,0,0,0.076251,0.00010008,2.2555E-05,-1.1858E-20,3.119E-05,1.2705E-20,0.00010288,0,0,0,0,0,0,package://arm/meshes/l5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l5.STL,,Part4-part5-1,Origin_l4-l5,Axis_l4-l5,l4-l5,continuous,-0.033037,-0.065696,-0.010374,0,1.2686,-3.1416,l4,0,1,0,,,,,,,,,,,,
l6,0.024343,-0.018687,-0.0057442,0,0,0,0.058585,6.5253E-05,3.7647E-05,-5.1104E-06,5.9674E-05,3.8831E-06,0.00011941,0,0,0,0,0,0,package://arm/meshes/l6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/l6.STL,,Part5-part6-2,Origin_l5-l6,Axis_l5-l6,l5-l6,continuous,0,0.11044,0,1.5708,-0.12954,1.5708,l5,0,0,1,,,,,,,,,,,,
hand,5.5511E-16,0.039165,3.0531E-16,0,0,0,0.083515,2.5445E-05,-5.9292E-21,-1.6941E-21,2.4932E-05,5.294E-21,2.5445E-05,0,0,0,0,0,0,package://arm/meshes/hand.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm/meshes/hand.STL,,Part6-part7-1,Origin_l6-hand,Axis_l6-hand,l6-hand,continuous,0.059232,-0.063903,-0.0024906,-3.1416,-0.39054,0,l6,0,1,0,,,,,,,,,,,,
